"PostPal shipping plugin is not configured correctly", "PostPal plugin ei ole korrektselt seadistatud"
"Address not Found", "Sellist aadressi ei leitud"
"Address out of range", "Address jääb PostPal levialast välja"
"ETA:", "ETA:"
"Name is missing", "Nime välja ei leitud"
"Address is missing", "Aadressi välja ei leitud"
"Phone number is missing", "Telefoninumbri välja ei leitud"
"Package size is missing", "Paki suuruse välja ei leitud"
"Company name is not correct", "Ettevõtte nimi ei ole õigesti sisestatud"
"E-mail is not correct", "E-mail ei ole õigesti sisestatud"
"Apartment in address is not correct", "Korteri number aadressis ei ole õigesti sisestatud"
"Address is not correct", "Aadresse ei ole õigesti sisestatud"
"Locality in address is not correct", "Aadress ei ole õige"
"Country in address is not correct", "Riik ei ole õigesti siestatud"
"Postal code is not correct", "Postikood ei ole õigesti sisestatud"
"Phone number is not correct", "Telefoninumber ei ole õigesti sisestatud"
"Notes are not correct", "Märkmed ei ole õigesti sisestatud"
"Package size is not correct", "Paki suurus ei ole õigesti sisestatud"
